d1,d2,score,count,n1,n2,atc1,atc2,atc1_first,atc2_first
DCC0457,DCC0067,0.9007045800511609,3,Sorivudine,Vinorelbine,-,L01CA04,-,L
DCC0457,DCC0311,0.8879066929724792,3,Sorivudine,Ifosfamide,-,L01AA06,-,L
DCC0457,DCC0414,0.9117875820910544,3,Sorivudine,Mesna,-,R05CB05,-,R
DCC0457,DCC0411,0.9123384056772772,3,Sorivudine,Lomeguatrib,-,-,-,-
DCC0457,DCC0787,0.9006519210884373,3,Sorivudine,Ipilimumab,-,L01XC11,-,L
DCC0457,DCC1628,0.8920222621851254,3,Sorivudine,Fotemustine,-,L01AD05,-,L
DCC0457,DCC0634,0.8870969816906672,3,Sorivudine,Enzastaurin,-,-,-,-
DCC0457,DCC1461,0.892056740274187,3,Sorivudine,Isotretinoin,-,D10BA01,-,D
DCC0457,DCC0904,0.8786236582499098,3,Sorivudine,Neratinib,-,-,-,-
DCC0457,DCC1120,0.8912211321209301,3,Sorivudine,Pegfilgrastim,-,L03AA10,-,L
DCC0457,DCC1657,0.907944506087583,3,Sorivudine,Vandetanib,-,L01XE12,-,L
DCC0457,DCC0596,0.8989172416587197,3,Sorivudine,ABT-751,-,-,-,-
DCC0457,DCC1555,0.9165064499293548,3,Sorivudine,Panitumumab,-,L01XC08,-,L
DCC0457,DCC1639,0.9122659382069056,3,Sorivudine,Ixabepilone,-,L01DC04,-,L
DCC0457,DCC1017,0.8502177560373737,3,Sorivudine,SCH,-,-,-,-
DCC0457,DCC0777,0.8872617838374864,3,Sorivudine,Pazopanib,-,L01XE11,-,L
DCC0457,DCC0622,0.8732900503062275,3,Sorivudine,Iniparib,-,-,-,-
DCC0457,DCC1129,0.8860189354005769,3,Sorivudine,Palifermin,-,V03AF08,-,V
DCC0457,DCC1024,0.9325126974745378,3,Sorivudine,Teprotumumab,-,-,-,-
DCC0457,DCC1234,0.8564234440600789,3,Sorivudine,Bleomycin,-,L01DC01,-,L
DCC0457,DCC0630,0.8501434932861899,3,Sorivudine,Zosuquidar,-,-,-,-
DCC0457,DCC0945,0.8530204848564049,3,Sorivudine,Sepantronium,-,-,-,-
DCC0457,DCC1535,0.8655864356342221,3,Sorivudine,Mitoxantrone,-,L01DB07,-,L
DCC0457,DCC1106,0.8516024812855753,3,Sorivudine,Ofatumumab,-,L01XC10,-,L
DCC0457,DCC1710,0.8749266789845739,3,Sorivudine,Plerixafor,-,L03AX16,-,L
DCC0457,DCC1245,0.8524850840049808,3,Sorivudine,Floxuridine,-,-,-,-
DCC0457,DCC0620,0.8666013393870319,3,Sorivudine,Canfosfamide,-,-,-,-
DCC0457,DCC1681,0.8929369477612362,3,Sorivudine,Pertuzumab,-,L01XC13,-,L
DCC0457,DCC0853,0.8952054892590312,3,Sorivudine,Linifanib,-,-,-,-
DCC0457,DCC1688,0.9109130852850424,3,Sorivudine,Axitinib,-,L01XE17,-,L
DCC0457,DCC1624,0.90601623604289,3,Sorivudine,Uracil,-,-,-,-
DCC0457,DCC1321,0.8677502164596241,3,Sorivudine,Vinblastine,-,L01CA01,-,L
DCC0457,DCC0532,0.8641410797736583,3,Sorivudine,Trientine,-,-,-,-
DCC0457,DCC0956,0.8698298307933175,3,Sorivudine,Obatoclax,-,-,-,-
DCC0178,DCC0903,0.897143426905004,2,Delavirdine,Elvitegravir,J05AG02,J05AX11,J,J
DCC0330,DCC0461,0.8614177000008633,3,Dasatinib,Lexatumumab,L01XE06,-,L,-
DCC0384,DCC0148,0.8600715662590526,3,L744832,Imatinib,-,L01XE01,-,L
DCC0384,DCC0079,0.8608981800933336,3,L744832,Sorafenib,-,L01XE05,-,L
DCC0384,DCC0355,0.8761498056312331,3,L744832,Genistein,-,-,-,-
DCC0384,DCC0295,0.8629041780960378,3,L744832,Capecitabine,-,L01BC06,-,L
DCC0384,DCC0336,0.8712285783262765,3,L744832,Sunitinib,-,L01XE04,-,L
DCC0384,DCC0094,0.8653055924131033,3,L744832,Gemcitabine,-,L01BC05,-,L
DCC0384,DCC0403,0.8692740962569535,3,L744832,Tegafur,-,L01BC03,-,L
DCC0384,DCC0416,0.8669462163464162,3,L744832,Potassium,-,-,-,-
DCC0384,DCC0439,0.866846144956256,3,L744832,"5-2,4-dihydroxypyrimidine",-,-,-,-
DCC0384,DCC0046,0.866009234231448,3,L744832,Mitomycin,-,L01DC03,-,L
DCC0384,DCC0006,0.857028981849307,3,L744832,Aldesleukin,-,L03AC01,-,L
DCC0384,DCC0461,0.8872004445103441,3,L744832,Lexatumumab,-,-,-,-
DCC0384,DCC0096,0.8645934928123649,3,L744832,Epirubicin,-,L01DB03,-,L
DCC0384,DCC0215,0.880243849315948,3,L744832,Temozolomide,-,L01AX03,-,L
DCC0384,DCC1417,0.8612502636215909,3,L744832,Dacarbazine,-,L01AX04,-,L
DCC0384,DCC1164,0.8878480930543219,3,L744832,Octreotide,-,H01CB02,-,H
DCC0384,DCC1205,0.8874791671441682,3,L744832,Midodrine,-,C01CA17,-,C
DCC0384,DCC0162,0.8688946083841765,3,L744832,Leucovorin,-,V03AF03,-,V
DCC0384,DCC0108,0.8727069495561729,3,L744832,Altretamine,-,L01XX03,-,L
DCC0384,DCC0364,0.8595626178228324,3,L744832,Flavopiridol,-,-,-,-
DCC0384,DCC0401,0.8593305053793211,3,L744832,Phorbol,-,-,-,-
DCC0384,DCC0104,0.8993660578202296,3,L744832,Raloxifene,-,G03XC01,-,G
DCC0384,DCC0307,0.8994840045948966,3,L744832,Trimetrexate,-,P01AX07,-,P
DCC0384,DCC0429,0.8520542501553265,3,L744832,Afatinib,-,L01XE13,-,L
DCC0384,DCC0420,0.8845355364411089,3,L744832,Tirapazamine,-,-,-,-
DCC0384,DCC0275,0.8847663265716786,3,L744832,Procainamide,-,C01BA02,-,C
DCC0384,DCC0360,0.899926933459057,3,L744832,"""2'-Deoxyinosine""",-,-,-,-
DCC0384,DCC0088,0.8625096404120208,3,L744832,Trifluridine,-,S01AD02,-,S
DCC0384,DCC0067,0.8688443679366616,3,L744832,Vinorelbine,-,L01CA04,-,L
DCC0384,DCC0311,0.8569825413634004,3,L744832,Ifosfamide,-,L01AA06,-,L
DCC0384,DCC0414,0.8790524978271659,3,L744832,Mesna,-,R05CB05,-,R
DCC0384,DCC0411,0.8965224792724039,3,L744832,Lomeguatrib,-,-,-,-
DCC0384,DCC0787,0.8865602234984475,3,L744832,Ipilimumab,-,L01XC11,-,L
DCC0384,DCC1628,0.8778231403258702,3,L744832,Fotemustine,-,L01AD05,-,L
DCC0384,DCC0634,0.8579243819325845,3,L744832,Enzastaurin,-,-,-,-
DCC0384,DCC1461,0.8666525193614041,3,L744832,Isotretinoin,-,D10BA01,-,D
DCC0384,DCC1120,0.8605482184621085,3,L744832,Pegfilgrastim,-,L03AA10,-,L
DCC0384,DCC1657,0.8741599132510799,3,L744832,Vandetanib,-,L01XE12,-,L
DCC0384,DCC0596,0.8695008044834291,3,L744832,ABT-751,-,-,-,-
DCC0384,DCC1555,0.88621178624629,3,L744832,Panitumumab,-,L01XC08,-,L
DCC0384,DCC1639,0.8826172159692245,3,L744832,Ixabepilone,-,L01DC04,-,L
DCC0384,DCC0777,0.8540642410263194,3,L744832,Pazopanib,-,L01XE11,-,L
DCC0384,DCC1129,0.8539095682787581,3,L744832,Palifermin,-,V03AF08,-,V
DCC0384,DCC1024,0.9005135335520972,3,L744832,Teprotumumab,-,-,-,-
DCC0384,DCC1681,0.861203137002287,3,L744832,Pertuzumab,-,L01XC13,-,L
DCC0384,DCC0853,0.8617591092629526,3,L744832,Linifanib,-,-,-,-
DCC0384,DCC1688,0.8791711472638609,3,L744832,Axitinib,-,L01XE17,-,L
DCC0384,DCC1624,0.8784995606757744,3,L744832,Uracil,-,-,-,-
DCC0355,DCC0403,0.8761804714104042,3,Genistein,Tegafur,-,L01BC03,-,L
DCC0355,DCC0439,0.8742985004738472,3,Genistein,"5-2,4-dihydroxypyrimidine",-,-,-,-
DCC0355,DCC0006,0.8552639873718318,3,Genistein,Aldesleukin,-,L03AC01,-,L
DCC0355,DCC0461,0.8887800350693631,3,Genistein,Lexatumumab,-,-,-,-
DCC0355,DCC0401,0.8541405645293992,3,Genistein,Phorbol,-,-,-,-
DCC0355,DCC0787,0.8806455628683612,3,Genistein,Ipilimumab,-,L01XC11,-,L
DCC0355,DCC0596,0.8742775635170994,3,Genistein,ABT-751,-,-,-,-
DCC0355,DCC0853,0.8656855264742424,3,Genistein,Linifanib,-,-,-,-
DCC0430,DCC1024,0.8507167955146199,3,NU6140,Teprotumumab,-,-,-,-
DCC0336,DCC0439,0.8705355611293649,3,Sunitinib,"5-2,4-dihydroxypyrimidine",L01XE04,-,L,-
DCC0336,DCC0461,0.8863874932159813,3,Sunitinib,Lexatumumab,L01XE04,-,L,-
DCC0336,DCC0401,0.8524389228590614,3,Sunitinib,Phorbol,L01XE04,-,L,-
DCC0380,DCC1024,0.8545066745347133,3,U0126,Teprotumumab,-,-,-,-
DCC0462,DCC1024,0.8550660058541973,3,ABT-737,Teprotumumab,-,-,-,-
DCC0403,DCC1205,0.8846358946358963,3,Tegafur,Midodrine,L01BC03,C01CA17,L,C
DCC0403,DCC0364,0.8551356504647402,3,Tegafur,Flavopiridol,L01BC03,-,L,-
DCC0403,DCC0401,0.8545527539352372,3,Tegafur,Phorbol,L01BC03,-,L,-
DCC0403,DCC0360,0.9025224992824318,3,Tegafur,"""2'-Deoxyinosine""",L01BC03,-,L,-
DCC0416,DCC0461,0.8942429062954137,3,Potassium,Lexatumumab,-,-,-,-
DCC0416,DCC0401,0.8534844587337626,3,Potassium,Phorbol,-,-,-,-
DCC0439,DCC0189,0.8797198445793555,3,"5-2,4-dihydroxypyrimidine",Irinotecan,-,L01XX19,-,L
DCC0439,DCC0403,0.8795695895617216,3,"5-2,4-dihydroxypyrimidine",Tegafur,-,L01BC03,-,L
DCC0439,DCC0416,0.879445886632447,3,"5-2,4-dihydroxypyrimidine",Potassium,-,-,-,-
DCC0439,DCC0046,0.8799488472187011,3,"5-2,4-dihydroxypyrimidine",Mitomycin,-,L01DC03,-,L
DCC0439,DCC0006,0.8618177480825212,3,"5-2,4-dihydroxypyrimidine",Aldesleukin,-,L03AC01,-,L
DCC0439,DCC0461,0.8941987912826175,3,"5-2,4-dihydroxypyrimidine",Lexatumumab,-,-,-,-
DCC0439,DCC0332,0.8515767056542631,3,"5-2,4-dihydroxypyrimidine",Lapatinib,-,L01XE07,-,L
DCC0439,DCC0426,0.8576565397898519,3,"5-2,4-dihydroxypyrimidine",2-methoxyestradiol,-,-,-,-
DCC0439,DCC0096,0.8742688806076865,3,"5-2,4-dihydroxypyrimidine",Epirubicin,-,L01DB03,-,L
DCC0439,DCC0215,0.8713956381074875,3,"5-2,4-dihydroxypyrimidine",Temozolomide,-,L01AX03,-,L
DCC0439,DCC1417,0.8547572898450575,3,"5-2,4-dihydroxypyrimidine",Dacarbazine,-,L01AX04,-,L
DCC0439,DCC1164,0.8853758709027679,3,"5-2,4-dihydroxypyrimidine",Octreotide,-,H01CB02,-,H
DCC0439,DCC1205,0.88276863233994,3,"5-2,4-dihydroxypyrimidine",Midodrine,-,C01CA17,-,C
DCC0439,DCC0162,0.8739722562731984,3,"5-2,4-dihydroxypyrimidine",Leucovorin,-,V03AF03,-,V
DCC0439,DCC0108,0.8790726039080009,3,"5-2,4-dihydroxypyrimidine",Altretamine,-,L01XX03,-,L
DCC0439,DCC0364,0.8540195926654132,3,"5-2,4-dihydroxypyrimidine",Flavopiridol,-,-,-,-
DCC0439,DCC0401,0.8534209215749375,3,"5-2,4-dihydroxypyrimidine",Phorbol,-,-,-,-
DCC0439,DCC0104,0.9013877413300396,3,"5-2,4-dihydroxypyrimidine",Raloxifene,-,G03XC01,-,G
DCC0439,DCC0307,0.9015459166050598,3,"5-2,4-dihydroxypyrimidine",Trimetrexate,-,P01AX07,-,P
DCC0439,DCC0429,0.8663229824937645,3,"5-2,4-dihydroxypyrimidine",Afatinib,-,L01XE13,-,L
DCC0439,DCC0420,0.8911777767318582,3,"5-2,4-dihydroxypyrimidine",Tirapazamine,-,-,-,-
DCC0439,DCC0275,0.8915050376814708,3,"5-2,4-dihydroxypyrimidine",Procainamide,-,C01BA02,-,C
DCC0439,DCC0360,0.9015553932555594,3,"5-2,4-dihydroxypyrimidine","""2'-Deoxyinosine""",-,-,-,-
DCC0439,DCC0088,0.8759944288063385,3,"5-2,4-dihydroxypyrimidine",Trifluridine,-,S01AD02,-,S
DCC0439,DCC0067,0.8793144076633226,3,"5-2,4-dihydroxypyrimidine",Vinorelbine,-,L01CA04,-,L
DCC0439,DCC0311,0.8682365910697509,3,"5-2,4-dihydroxypyrimidine",Ifosfamide,-,L01AA06,-,L
DCC0439,DCC0414,0.8912505811078937,3,"5-2,4-dihydroxypyrimidine",Mesna,-,R05CB05,-,R
DCC0439,DCC0411,0.8849336407074206,3,"5-2,4-dihydroxypyrimidine",Lomeguatrib,-,-,-,-
DCC0439,DCC0787,0.8725749456837218,3,"5-2,4-dihydroxypyrimidine",Ipilimumab,-,L01XC11,-,L
DCC0439,DCC1628,0.8643237078174201,3,"5-2,4-dihydroxypyrimidine",Fotemustine,-,L01AD05,-,L
DCC0439,DCC0634,0.8653527687447502,3,"5-2,4-dihydroxypyrimidine",Enzastaurin,-,-,-,-
DCC0439,DCC1461,0.8698063513023094,3,"5-2,4-dihydroxypyrimidine",Isotretinoin,-,D10BA01,-,D
DCC0439,DCC0904,0.8593705878184492,3,"5-2,4-dihydroxypyrimidine",Neratinib,-,-,-,-
DCC0439,DCC1120,0.8707643118528275,3,"5-2,4-dihydroxypyrimidine",Pegfilgrastim,-,L03AA10,-,L
DCC0439,DCC1657,0.8870011939277144,3,"5-2,4-dihydroxypyrimidine",Vandetanib,-,L01XE12,-,L
DCC0439,DCC0596,0.8763536779213621,3,"5-2,4-dihydroxypyrimidine",ABT-751,-,-,-,-
DCC0439,DCC1555,0.8930325445528547,3,"5-2,4-dihydroxypyrimidine",Panitumumab,-,L01XC08,-,L
DCC0439,DCC1639,0.8890492011575629,3,"5-2,4-dihydroxypyrimidine",Ixabepilone,-,L01DC04,-,L
DCC0439,DCC0777,0.8669287107004816,3,"5-2,4-dihydroxypyrimidine",Pazopanib,-,L01XE11,-,L
DCC0439,DCC0622,0.8551466429828497,3,"5-2,4-dihydroxypyrimidine",Iniparib,-,-,-,-
DCC0439,DCC1129,0.8670543271741318,3,"5-2,4-dihydroxypyrimidine",Palifermin,-,V03AF08,-,V
DCC0439,DCC1024,0.9090712308358848,3,"5-2,4-dihydroxypyrimidine",Teprotumumab,-,-,-,-
DCC0439,DCC1710,0.8533366067706485,3,"5-2,4-dihydroxypyrimidine",Plerixafor,-,L03AX16,-,L
DCC0439,DCC1681,0.8715060068808866,3,"5-2,4-dihydroxypyrimidine",Pertuzumab,-,L01XC13,-,L
DCC0439,DCC0853,0.8747917105237842,3,"5-2,4-dihydroxypyrimidine",Linifanib,-,-,-,-
DCC0439,DCC1688,0.8890271195730949,3,"5-2,4-dihydroxypyrimidine",Axitinib,-,L01XE17,-,L
DCC0439,DCC1624,0.8828554979353951,3,"5-2,4-dihydroxypyrimidine",Uracil,-,-,-,-
DCC0439,DCC0956,0.8529068177518936,3,"5-2,4-dihydroxypyrimidine",Obatoclax,-,-,-,-
DCC0471,DCC1024,0.8505570353929222,3,Peloruside,Teprotumumab,-,-,-,-
DCC0046,DCC0006,0.8616471483203538,3,Mitomycin,Aldesleukin,L01DC03,L03AC01,L,L
DCC0046,DCC0461,0.8944585153741341,3,Mitomycin,Lexatumumab,L01DC03,-,L,-
DCC0046,DCC0401,0.8530711037331558,3,Mitomycin,Phorbol,L01DC03,-,L,-
DCC0006,DCC0461,0.8795837670561827,3,Aldesleukin,Lexatumumab,L03AC01,-,L,-
DCC0006,DCC1164,0.8686839128203431,3,Aldesleukin,Octreotide,L03AC01,H01CB02,L,H
DCC0006,DCC1205,0.8657553061687588,3,Aldesleukin,Midodrine,L03AC01,C01CA17,L,C
DCC0006,DCC0104,0.8844301531238403,3,Aldesleukin,Raloxifene,L03AC01,G03XC01,L,G
DCC0006,DCC0307,0.8845668524667482,3,Aldesleukin,Trimetrexate,L03AC01,P01AX07,L,P
DCC0006,DCC0360,0.8852116377674927,3,Aldesleukin,"""2'-Deoxyinosine""",L03AC01,-,L,-
DCC0006,DCC0411,0.8704122740903677,3,Aldesleukin,Lomeguatrib,L03AC01,-,L,-
DCC0006,DCC1624,0.8632879700912611,3,Aldesleukin,Uracil,L03AC01,-,L,-
DCC0461,DCC0271,0.85490094962871,3,Lexatumumab,Topotecan,-,L01XX17,-,L
DCC0461,DCC0426,0.8719703494412016,3,Lexatumumab,2-methoxyestradiol,-,-,-,-
DCC0461,DCC1205,0.8978771294388128,3,Lexatumumab,Midodrine,-,C01CA17,-,C
DCC0461,DCC0162,0.8903584556972266,3,Lexatumumab,Leucovorin,-,V03AF03,-,V
DCC0461,DCC0364,0.871415862798122,3,Lexatumumab,Flavopiridol,-,-,-,-
DCC0461,DCC0401,0.8709485329642193,3,Lexatumumab,Phorbol,-,-,-,-
DCC0461,DCC0104,0.9182578194698218,3,Lexatumumab,Raloxifene,-,G03XC01,-,G
